Iteracao,Prob_Manter,Prob_Trocar
1074,0.337058,0.662942
1075,0.336744,0.663256
1076,0.336431,0.663569
1077,0.336119,0.663881
1078,0.335807,0.664193
1079,0.336423,0.663577
1080,0.337037,0.662963
1081,0.336725,0.663275
1082,0.336414,0.663586
1083,0.336103,0.663897
1084,0.335793,0.664207
1085,0.335484,0.664516
1086,0.335175,0.664825
1087,0.334867,0.665133
1088,0.334559,0.665441
1089,0.334252,0.665748
1090,0.333945,0.666055
1091,0.333639,0.666361
1092,0.334249,0.665751
1093,0.333943,0.666057
1094,0.333638,0.666362
1095,0.334247,0.665753
1096,0.334854,0.665146
1097,0.334549,0.665451
1098,0.334244,0.665756
1099,0.333940,0.666060
1100,0.333636,0.666364
1101,0.333333,0.666667
1102,0.333938,0.666062
1103,0.334542,0.665458
1104,0.334239,0.665761
1105,0.333937,0.666063
1106,0.333635,0.666365
1107,0.333333,0.666667
1108,0.333032,0.666968
1109,0.333634,0.666366
1110,0.333333,0.666667
1111,0.333033,0.666967
1112,0.333633,0.666367
1113,0.333333,0.666667
1114,0.333932,0.666068
1115,0.333632,0.666368
1116,0.333333,0.666667
1117,0.333035,0.666965
1118,0.332737,0.667263
1119,0.332440,0.667560
1120,0.332143,0.667857
1121,0.331847,0.668153
1122,0.331551,0.668449
1123,0.331256,0.668744
1124,0.330961,0.669039
1125,0.331556,0.668444
1126,0.332149,0.667851
1127,0.331854,0.668146
1128,0.331560,0.668440
1129,0.331267,0.668733
1130,0.330973,0.669027
1131,0.331565,0.668435
1132,0.331272,0.668728
1133,0.330980,0.669020
1134,0.330688,0.669312
1135,0.330396,0.669604
1136,0.330986,0.669014
1137,0.330695,0.669305
1138,0.330404,0.669596
1139,0.330992,0.669008
1140,0.331579,0.668421
1141,0.331288,0.668712
1142,0.331874,0.668126
1143,0.332458,0.667542
1144,0.332168,0.667832
